Timestamp,Date,Sensor_Pct,Model_ETc
14:17:30,2026-04-14,0,2.865035670682813
14:18:12,2026-04-14,0,2.865035670682813
14:18:24,2026-04-14,0,2.865035670682813
14:18:36,2026-04-14,0,2.865035670682813
14:18:48,2026-04-14,0,2.865035670682813
14:19:00,2026-04-14,0,2.865035670682813
14:19:12,2026-04-14,0,2.865035670682813
14:19:24,2026-04-14,0,2.865035670682813
14:19:36,2026-04-14,0,2.865035670682813
14:19:48,2026-04-14,0,2.865035670682813
14:20:00,2026-04-14,0,2.865035670682813
14:20:12,2026-04-14,0,2.865035670682813
14:20:24,2026-04-14,0,2.865035670682813
14:20:36,2026-04-14,0,2.865035670682813
14:20:48,2026-04-14,0,2.865035670682813
14:21:00,2026-04-14,0,2.865035670682813
14:21:12,2026-04-14,0,2.865035670682813
14:21:24,2026-04-14,0,2.865035670682813
14:21:36,2026-04-14,0,2.865035670682813
14:21:48,2026-04-14,0,2.865035670682813
14:22:00,2026-04-14,0,2.865035670682813
14:22:12,2026-04-14,0,2.865035670682813
14:22:24,2026-04-14,0,2.865035670682813
14:22:36,2026-04-14,0,2.865035670682813
14:22:48,2026-04-14,0,2.865035670682813
14:23:00,2026-04-14,0,2.865035670682813
14:23:12,2026-04-14,0,2.865035670682813
14:23:24,2026-04-14,0,2.865035670682813
14:23:36,2026-04-14,0,2.865035670682813
14:23:48,2026-04-14,0,2.865035670682813
14:24:00,2026-04-14,0,2.865035670682813
14:24:12,2026-04-14,0,2.865035670682813
14:24:24,2026-04-14,0,2.865035670682813
14:24:36,2026-04-14,0,2.865035670682813
14:24:48,2026-04-14,0,2.865035670682813
14:25:00,2026-04-14,0,2.865035670682813
14:25:12,2026-04-14,0,2.865035670682813
14:25:24,2026-04-14,0,2.865035670682813
14:25:36,2026-04-14,0,2.865035670682813
14:25:48,2026-04-14,0,2.865035670682813
14:26:00,2026-04-14,0,2.865035670682813
14:26:12,2026-04-14,0,2.865035670682813
14:26:24,2026-04-14,0,2.865035670682813
14:26:36,2026-04-14,0,2.865035670682813
14:26:48,2026-04-14,0,2.865035670682813
14:27:00,2026-04-14,0,2.865035670682813
14:27:12,2026-04-14,0,2.865035670682813
14:27:24,2026-04-14,0,2.865035670682813
14:27:36,2026-04-14,0,2.865035670682813
14:27:48,2026-04-14,0,2.865035670682813
14:28:00,2026-04-14,0,2.865035670682813
14:28:12,2026-04-14,0,2.865035670682813
14:28:24,2026-04-14,0,2.865035670682813
14:29:52,2026-04-14,0,2.865035670682813
14:30:04,2026-04-14,0,2.865035670682813
14:30:16,2026-04-14,0,2.865035670682813
14:30:28,2026-04-14,21.27,0.0
14:30:34,2026-04-14,20.91,0.0
14:30:40,2026-04-14,21.27,0.0
14:30:46,2026-04-14,22.0,0.0
14:30:50,2026-04-14,20.91,0.0
14:30:52,2026-04-14,21.27,0.0
14:30:54,2026-04-14,22.73,0.0
14:30:56,2026-04-14,22.55,0.0
14:30:58,2026-04-14,21.27,0.0
14:31:00,2026-04-14,22.0,0.0
14:31:02,2026-04-14,21.45,0.0
14:31:04,2026-04-14,21.27,0.0
14:31:06,2026-04-14,21.45,0.0
14:31:08,2026-04-14,21.27,0.0
14:31:10,2026-04-14,20.91,0.0
14:31:14,2026-04-14,20.73,0.0
14:31:16,2026-04-14,21.27,0.0
14:31:18,2026-04-14,21.45,0.0
14:31:22,2026-04-14,21.64,0.0
14:31:24,2026-04-14,21.09,0.0
14:31:28,2026-04-14,21.27,0.0
14:31:30,2026-04-14,21.27,0.0
14:31:32,2026-04-14,21.27,0.0
14:31:34,2026-04-14,21.09,0.0
14:31:38,2026-04-14,21.27,0.0
14:31:40,2026-04-14,20.91,0.0
14:31:42,2026-04-14,21.64,0.0
14:31:44,2026-04-14,21.64,0.0
14:31:46,2026-04-14,21.64,0.0
14:31:50,2026-04-14,22.0,0.0
